datetime,price,volume,vwap,circulating_supply,realized_value,market_value,mvrv_ratio
2024-11-03 00:00:00,165.99502794396105,1957197289.8022513,150.73845523779949,531207612.6555071,80073414942.25049,88177822506.79573,1.1012122134467501
2024-11-04 00:00:00,162.66791799614072,3328092038.7950063,150.9295344626534,531207612.6555071,80174917681.1132,86410436374.3717,1.0777739332151182
2024-11-05 00:00:00,157.6072230849172,3431380035.9552183,151.10286454471722,531207612.6555071,80266991940.2077,83722156712.20279,1.043045898301121
2024-11-06 00:00:00,166.51143603878933,4231343887.3657613,151.27267715573743,531207612.6555071,80357197691.90654,88452142418.00545,1.1007370211830347
2024-11-07 00:00:00,187.1685353309579,12310513296.170946,151.51852672516645,531207612.6555071,80487794854.75533,99425350817.38608,1.2352848155028302
2024-11-08 00:00:00,196.20253922973225,6091288676.382452,151.79149198955412,531207612.6555071,80632796081.18857,104224282461.17455,1.292579291883068
2024-11-09 00:00:00,199.83336694253737,7260188189.931466,152.10548269750637,531207612.6555071,80799590335.55591,106153005782.4572,1.3137814850497391
2024-11-10 00:00:00,200.1685708629758,4159056437.727218,152.43873624400464,531207612.6555071,80976617156.40022,106331068656.78607,1.313108306950087
2024-11-11 00:00:00,210.18784246643875,11110901193.487217,152.88832380995873,531207612.6555071,81215441493.9903,111653382005.80875,1.3747802136133283
2024-11-12 00:00:00,222.64379026281208,12984443505.89922,153.5024624932541,531207612.6555071,81541676637.78302,118270076298.08183,1.4504248768816754
2024-11-13 00:00:00,213.0672905358662,13290465438.161457,154.25711960164548,531207612.6555071,81942556238.70512,113182966740.5348,1.381247692722984
2024-11-14 00:00:00,215.0830227659504,13805972977.973513,155.1533905810599,531207612.6555071,82418662205.97227,114253739046.23059,1.3862605384287767
2024-11-15 00:00:00,209.3680513303875,10550722956.667837,156.14293309079002,531207612.6555071,82944314720.18715,111217902713.5508,1.3408743334458144
2024-11-16 00:00:00,219.08569006216123,7498818405.350817,157.19900693352173,531207612.6555071,83505309184.97258,116379986384.90503,1.3936836773708814
2024-11-17 00:00:00,216.05467211977268,5969522661.832492,158.2169521933954,531207612.6555071,84046049456.28407,114769886579.81279,1.3655595631476942
2024-11-18 00:00:00,237.4665536612789,12972061001.980022,159.3516421629878,531207612.6555071,84648805406.13539,126144041055.93883,1.4902046219165646
2024-11-19 00:00:00,239.77742042710136,10983854913.148941,160.55945707678788,531207612.6555071,85290405883.02486,127371591073.77634,1.493387090318992
2024-11-20 00:00:00,237.91328769126025,8433368277.4585285,161.83189269633164,531207612.6555071,85966333370.74052,126381349573.4972,1.4701260902737572
2024-11-21 00:00:00,236.04012432804112,8823415601.787249,163.07865163359753,531207612.6555071,86628621209.36246,125386310935.2078,1.447400514804183
2024-11-22 00:00:00,257.2507185771503,14028640651.231201,164.35758699751366,531207612.6555071,87308001410.76904,136653540069.28171,1.565189190694567
2024-11-23 00:00:00,256.24790229652683,9312488228.35439,165.62187704507903,531207612.6555071,87979601908.64037,136120836426.91965,1.5471863190318822
2024-11-24 00:00:00,254.69897355925355,8833978840.183693,166.85567594838489,531207612.6555071,88635005278.56245,135298033690.2192,1.5264627475905708
2024-11-25 00:00:00,253.63893250552624,6901354952.3071165,168.08146858754586,531207612.6555071,89286155660.02184,134734931812.75189,1.509023776606387
2024-11-26 00:00:00,234.5375215535424,8666830055.465332,169.31012255977998,531207612.6555071,89938826003.39204,124588116902.5968,1.3852539825002603
2024-11-27 00:00:00,230.77914119497484,9750668817.715805,170.56514201741794,531207612.6555071,90605501893.3201,122591636644.87077,1.3530264065995847
2024-11-28 00:00:00,242.46678684660802,7109836475.670383,171.71877023665823,531207612.6555071,91218317985.55476,128800202989.03835,1.4119993202399874
2024-11-29 00:00:00,237.65273808614407,5255693436.08845,172.7754759960839,531207612.6555071,91779648129.2986,126242943639.7851,1.3755004100902066
2024-11-30 00:00:00,243.70089664594224,5755025280.657502,173.78500469678352,531207612.6555071,92315917460.30446,129455771509.29745,1.4023125704726167
2024-12-01 00:00:00,238.16347667858562,4804502975.567071,174.734080452747,531207612.6555071,92820073726.85904,126514251868.167,1.36300529388136
2024-12-02 00:00:00,237.54718827599987,5045595846.945474,175.5182644419065,531207612.6555071,93236638231.62312,126186874777.12216,1.353404382337793
2024-12-03 00:00:00,225.5283610124218,9899598134.99005,176.2391965036788,531207612.6555071,93619602831.044,119802382239.51793,1.2796719769867662
2024-12-04 00:00:00,234.99258635351788,10452192112.243505,176.92579055632473,531207612.6555071,93984326818.61353,124829850788.59532,1.3281985945328159
2024-12-05 00:00:00,229.06669921453178,8783744907.42495,177.58468818099345,531207612.6555071,94334338252.79817,121681974428.62856,1.2899011821394655
2024-12-06 00:00:00,237.3008587229224,12602226714.283775,178.2611357378311,531207612.6555071,94693672344.55255,126056022643.30537,1.3311979514812533
2024-12-07 00:00:00,237.00646868253727,8922633455.40031,178.9209849935983,531207612.6555071,95044189292.42116,125899640412.76283,1.32464321438325
2024-12-08 00:00:00,238.89329739813545,5251587540.533853,179.5483008649188,531207612.6555071,95377424258.80623,126901938190.2656,1.3305238548476392
2024-12-09 00:00:00,237.57854563045439,4395374812.781921,180.15928888432163,531207612.6555071,95701985745.95433,126203532042.52113,1.3187138287551803
2024-12-10 00:00:00,217.61737842270807,11429229527.743338,180.76537093753947,531207612.6555071,96023941146.51753,115600008064.27681,1.2038665220779603
2024-12-11 00:00:00,213.52687206332865,11187514118.859241,181.3722213630388,531207612.6555071,96346304712.286,113427099946.5587,1.1772854214313688
2024-12-12 00:00:00,227.0731413756734,7555103206.1240225,181.97694491486556,531207612.6555071,96667538466.56845,120622981328.35791,1.2478126912280303
2024-12-13 00:00:00,227.02574746034202,6550517085.993641,182.54904903321884,531207612.6555071,96971444529.46928,120597805319.74034,1.2436424547959692
2024-12-14 00:00:00,224.59546331682483,5161260053.695949,183.0625357015668,531207612.6555071,97244212556.69283,119306819881.78804,1.226878358567949
2024-12-15 00:00:00,219.871836259502,3877459092.60342,183.53124619089218,531207612.6555071,97493195136.75397,116797593229.59262,1.1980076462337739
2024-12-16 00:00:00,224.53658892974883,3942318066.518842,183.9185874973071,531207612.6555071,97698953787.4175,119275545359.18283,1.2208477239041238
2024-12-17 00:00:00,216.51544960024825,6624387280.0088625,184.26309065451179,531207612.6555071,97881956487.10849,115014655085.18164,1.1750342883709073
2024-12-18 00:00:00,222.74032965988914,7985124597.628129,184.60382607012284,531207612.6555071,98062957733.78241,118321358760.73035,1.206585661855567
2024-12-19 00:00:00,205.36330239790396,8480297085.511605,184.93183432274296,531207612.6555071,98237198214.58806,109090549593.84154,1.110481076175906
2024-12-20 00:00:00,194.9019815694289,10468690590.802677,185.21726834221437,531207612.6555071,98388822938.64212,103533416331.32397,1.0522883925127364
2024-12-21 00:00:00,194.12198450453806,12107653719.181095,185.46924337835975,531207612.6555071,98522673996.0417,103119075952.60501,1.0466532400120196
2024-12-22 00:00:00,181.0289078386085,6815137488.7062845,185.67359468574062,531207612.6555071,98631226966.17853,96163933954.58102,0.9749846667481531
