datetime,price,volume,vwap,realized_value,market_value,mvrv_ratio
2025-03-27 00:04:41.339,86913.68578612641,25184660306.741398,86913.68578612641,1728106987327.696,1728106987327.696,1.0
2025-03-27 01:04:39.772,87277.52244284363,25540194749.296482,87096.87919415538,1731749426439.3713,1735341160669.121,1.0020740496141722
2025-03-27 02:09:46.260,87484.22713450069,25305971460.705265,87225.80342624408,1734312830169.0967,1739451075220.9556,1.0029626979414998
2025-03-27 03:04:43.770,87636.52233889826,26312739947.78807,87331.4000974726,1736412411423.05,1742479164577.3726,1.0034938434639213
2025-03-27 04:04:46.185,87684.58507410828,21915113481.168404,87393.69022357241,1737650927557.546,1743434797143.1218,1.0033285566703007
2025-03-27 05:04:42.858,87519.00306751425,25491762300.230244,87415.02201520534,1738075068103.8782,1740142525966.4624,1.001189510108352
2025-03-27 06:04:50.281,87309.51046145338,25530606156.562138,87399.65370272456,1737769499562.615,1735977179242.839,0.9989686087135107
2025-03-27 07:04:20.200,87382.68434468325,25202804754.906918,87397.52048645404,1737727084770.178,1737432097392.4456,0.9998302452782616
2025-03-27 08:04:47.531,87426.40019335548,20712779310.991844,87400.22477263119,1737780854159.8452,1738301300704.492,1.0002994891694201
2025-03-27 09:04:29.709,87468.52663938893,24544348025.04745,87407.04669051031,1737916494523.5837,1739138901884.1362,1.0007033751992138
2025-03-27 10:04:51.079,87517.37274800161,24211544540.829872,87416.9416313138,1738113235878.9531,1740110110282.8347,1.0011488747468584
2025-03-27 11:04:44.174,87227.42279262032,19970067757.117313,87403.88744325098,1737853679131.3452,1734345028071.2395,0.9979810434547864
2025-03-27 12:05:55.794,86886.0329308739,25058625822.831005,87362.68904255453,1737034530300.3376,1727557164915.3892,0.994543939559273
2025-03-27 13:04:47.921,86836.77934030221,24528416764.944305,87324.69385475031,1736279071031.3467,1726577854542.7124,0.9944126398512241
2025-03-27 14:04:51.705,86311.36672144024,24957254379.15693,87255.30521137563,1734899414900.4119,1716131062306.5642,0.9891818785385175
2025-03-27 15:04:46.582,87284.7757395601,23972308207.355747,87257.1239685669,1734935577295.1147,1735485378149.067,1.0003168998671463
2025-03-27 16:03:56.795,86951.76421649675,21890977284.903522,87240.83312816695,1734611666108.1716,1728864101710.7104,0.9966865411378464
2025-03-27 17:03:15.939,86803.87202525735,26277064382.60975,87214.53476663842,1734088775128.441,1725923557574.9927,0.9952913497448576
2025-03-27 18:00:50.262,86901.47646822476,26668232714.970627,87196.51371425432,1733730462093.3616,1727864229154.6248,0.996616410066618
2025-03-27 19:04:43.641,87207.48052895733,25392890315.657364,87197.08358769845,1733741792901.2979,1733948515544.2717,1.0001192349655643
2025-03-27 20:04:27.408,87022.23634069061,18760248906.758682,87190.61927370486,1733613262784.5554,1730265300717.8599,0.9980687953082927
2025-03-27 21:04:30.356,87311.73452661555,23460302474.523922,87195.97143004565,1733719679842.8835,1736021400386.06,1.00132761978187
2025-03-27 22:04:54.977,87577.72538017163,23720111591.73468,87212.29869101508,1734044315180.9202,1741310103177.087,1.0041900820714658
2025-03-27 23:04:54.348,87305.46595898429,24355802796.690277,87216.21803722458,1734122243639.5872,1735896762299.1335,1.0010232950220521
2025-03-28 00:04:49.111,87212.97468263778,24027993322.40388,87216.08879637868,1734119673940.6172,1734057755939.2542,0.9999642942743263
2025-03-28 01:04:56.632,87337.4665470881,24072008462.965023,87220.74829265641,1734212318821.5947,1736533030792.4165,1.0013381936834578
2025-03-28 02:02:39.918,87220.58974772833,22734848954.768867,87220.74274556995,1734212208528.736,1734209166468.8262,0.9999982458548643
2025-03-28 03:04:55.663,87003.73711142981,24173829152.53246,87212.95926883083,1734057449466.1453,1729897480079.9868,0.9976010198581142
2025-03-28 04:04:54.390,86777.75784016024,24292573153.979626,87197.8186758347,1733756408677.0881,1725404328579.852,0.9951826680752638
2025-03-28 05:00:52.164,86254.14224809303,25569565949.290546,87164.48321254326,1733093598827.078,1714993266672.39,0.9895560561951542
2025-03-28 06:04:51.898,86031.83128027114,24904628300.173683,87126.808899726,1732344519523.4746,1710573052141.413,0.9874323685983373
2025-03-28 07:04:48.233,85660.18490491247,27060183887.73245,87075.65255597573,1731327376661.7793,1703183597968.9973,0.9837443922667897
2025-03-28 08:14:41.654,85374.42563128132,28629449112.561867,87015.10633667072,1730123534669.6824,1697501839187.4072,0.9811448750169719
2025-03-28 09:04:41.052,85205.94321631963,25107280335.88548,86960.34909825546,1729034795129.3408,1694151899118.6636,0.9798252203431985
2025-03-28 10:04:33.230,85114.01221695973,28336577807.026863,86899.3624231581,1727822195543.7131,1692324032760.1157,0.9794549677188128
2025-03-28 11:06:34.263,84893.79618774568,30691312209.554523,86830.0895460926,1726444841197.1978,1687945471945.852,0.9777002031384632
2025-03-28 12:05:29.268,85167.80064394798,30960776787.35904,86774.11966191058,1725331990590.7595,1693393509398.6338,0.9814885011311998
2025-03-28 13:04:45.166,85022.1158107608,31694388618.295437,86715.7433907569,1724171293732.0044,1690496854218.2524,0.9804692030100658
2025-03-28 14:04:57.279,84996.80217812448,24547018710.769196,86672.50061791488,1723311496598.5168,1689993542627.7034,0.9806663194456854
2025-03-28 15:05:36.116,84315.24214798606,28569431407.02376,86605.44587967126,1721978245561.6506,1676442067509.4607,0.9735558923757845
2025-03-28 16:09:38.263,84082.29777900936,29194309757.628998,86534.17412594146,1720561147500.447,1671810428797.4875,0.9716658028842612
2025-03-28 17:04:52.341,83719.60743307101,32080481521.25397,86449.44094130803,1718876395472.051,1664599047581.9368,0.9684227743000635
