datetime,price,volume,vwap,circulating_supply,realized_value,market_value,mvrv_ratio
2025-05-14 10:04:34.662,179.39234806047605,7053903956.784665,138.49361914064042,531207612.6555071,73568864791.72064,95294580941.87128,1.29531128707311
2025-05-14 11:04:49.588,179.97757082741708,7143664925.306379,138.550035371413,531207612.6555071,73598833522.98436,95605455730.76967,1.2990077580633503
2025-05-14 12:07:05.741,181.23046214548836,7161777111.453141,138.60647553781274,531207612.6555071,73628814969.03545,96271001136.75912,1.3075180033421132
2025-05-14 13:05:43.569,181.11611854363744,7029941452.94669,138.6631412136191,531207612.6555071,73658916207.40005,96210260944.99747,1.306159062591961
2025-05-14 14:04:56.418,178.75064870585786,7030029444.62571,138.71986931051137,531207612.6555071,73689050604.3207,94953705359.66196,1.2885727876930257
2025-05-14 15:17:41.022,177.00040991279664,7069664355.771998,138.7762333635922,531207612.6555071,73718991618.39735,94023965188.82286,1.2754374839462426
2025-05-14 16:04:46.834,176.8803571959409,7142188117.561625,138.8321140655318,531207612.6555071,73748675872.6682,93960192271.7091,1.2740593801838203
2025-05-14 17:06:37.019,176.0222451971599,6970286977.231914,138.8871309047864,531207612.6555071,73777901236.50449,93504356645.4456,1.267376207215565
2025-05-14 18:11:47.048,175.53828538356188,6977660711.7661705,138.94134930899006,531207612.6555071,73806702465.56349,93247273508.243,1.2633984501847921
2025-05-14 19:08:23.791,176.34010655810727,6630282894.970356,138.99474889674488,531207612.6555071,73835068733.09152,93673207020.14989,1.268681788037224
2025-05-14 20:10:00.509,177.37316440973433,6423578161.518502,139.0472661358267,531207612.6555071,73862966290.28745,94221975215.24773,1.2756321597611953
2025-05-14 21:04:55.929,177.18966242952968,6236452557.376538,139.09859412796828,531207612.6555071,73890232110.45537,94124497566.42566,1.2738422234988103
2025-05-14 22:04:57.626,176.97416813961613,6103128269.251541,139.14842745899477,531207612.6555071,73916703955.26062,94010025359.13979,1.2718373564930736
