datetime,price,volume,vwap,realized_value,market_value,mvrv_ratio
2024-09-07 00:00:00,53923.35611071905,50260816556.81667,60618.94308207451,1205287960774.4646,1072159437633.3296,0.8895462931069248
2024-09-08 00:00:00,54150.9383589072,17048448412.007126,60572.690467956214,1204368318891.635,1076684461163.6108,0.8939827163126227
2024-09-09 00:00:00,54792.40755768575,18644823662.23431,60527.836048007775,1203476477338.4397,1089438809279.6547,0.9052431267198623
2024-09-10 00:00:00,57049.118751143265,35655419448.07046,60476.96799296792,1202465066528.3809,1134309054356.9504,0.9433197569986772
2024-09-11 00:00:00,57624.16178336144,29676093302.30697,60442.665492054744,1201783029045.1619,1145742649342.62,0.953368970647666
2024-09-12 00:00:00,57381.764445000474,37765652735.2964,60396.53395811482,1200865794602.546,1140923057004.0557,0.9500837330300264
2024-09-13 00:00:00,58106.951229815284,34177859933.02337,60365.72554586867,1200253230171.6455,1155341963976.198,0.9625818410094803
2024-09-14 00:00:00,60620.62747295754,31919740723.76027,60368.88911163214,1200316131428.8096,1205321451560.5015,1.0041700015526192
2024-09-15 00:00:00,60003.29940083042,15800120841.166773,60366.65688180109,1200271747947.2732,1193047102069.1963,0.9939808248503452
2024-09-16 00:00:00,59214.80226801806,17289597542.866756,60359.01192513968,1200119743082.8503,1177369393865.0598,0.9810432672665231
2024-09-17 00:00:00,58211.123231286256,32196570894.402115,60332.789123388604,1199598354460.0637,1157413218485.7454,0.9648339497820454
2024-09-18 00:00:00,60317.0319794625,34191170117.78261,60332.58744714807,1199594344526.3313,1199285054773.4524,0.9997421713812755
2024-09-19 00:00:00,61440.41208494509,40445339415.1129,60349.10998466452,1199922862552.8342,1221621249495.2654,1.0180831515254805
2024-09-20 00:00:00,62966.52931910512,41959080716.28771,60388.99119273932,1200715821610.0156,1251965076615.0,1.0426822517723346
2024-09-21 00:00:00,63128.224540748255,35587830476.533394,60423.93925119718,1201410694730.035,1255180066749.311,1.0447551967492337
2024-09-22 00:00:00,63403.402349259355,12938083115.659332,60437.69520505166,1201684204704.4224,1260651433995.3826,1.0490704871214183
2024-09-23 00:00:00,63582.59956924825,20349365412.816723,60460.36767261574,1202135001943.8105,1264214416800.352,1.051640967741694
2024-09-24 00:00:00,63327.02654450202,23998847798.757656,60484.535078529414,1202615523079.7773,1259132851959.9973,1.0469953428968592
2024-09-25 00:00:00,64334.14274876097,31490984593.70592,60526.65507968305,1203452996115.715,1279157368627.183,1.0629059653811264
2024-09-26 00:00:00,63151.89959401337,26087643765.748165,60550.236586981875,1203921867814.8752,1255650798425.2576,1.042967016376462
2024-09-27 00:00:00,65130.76884023231,37995568903.94455,60609.38878833084,1205097992513.1018,1294996705119.56,1.0745986742696203
2024-09-28 00:00:00,65791.00212541742,32664917503.931107,60666.283720860665,1206229235878.9656,1308124140034.7278,1.0844739135190273
2024-09-29 00:00:00,65934.10709441357,15342911002.84781,60693.31284017237,1206766656533.9683,1310969499710.9023,1.0863487921320445
2024-09-30 00:00:00,65663.68986662335,12948707838.938381,60714.74333103293,1207192759519.511,1305592787210.3186,1.081511446216736
2024-10-01 00:00:00,63243.27532464382,35124446789.27111,60743.97437993346,1207773961195.5764,1257467624361.7761,1.0411448373311576
2024-10-02 00:00:00,60872.668543725544,54251488433.95029,60746.23199933737,1207818849498.6248,1210332790471.6086,1.0020813890874674
2024-10-03 00:00:00,60655.55979196848,41870731291.86736,60745.020775433564,1207794766703.4648,1206016011732.704,0.9985272705100258
2024-10-04 00:00:00,60727.86395169296,37711138441.76231,60744.81681199497,1207790711293.3162,1207453637148.1099,0.9997209167597875
2024-10-05 00:00:00,62103.01047283253,30349059838.684578,60757.68796468634,1208046628744.0576,1234795709806.591,1.0221424243287223
2024-10-06 00:00:00,62091.932585194016,11095453162.990673,60762.29465419448,1208138223666.715,1234575447889.7273,1.0218826155030298
2024-10-07 00:00:00,62811.79972811266,14592422860.685436,60771.55905305606,1208322427940.89,1248888584289.0571,1.033572294455625
2024-10-08 00:00:00,62287.39010510681,33878876147.30253,60787.30202049182,1208635445755.9895,1238461734644.5913,1.024677655279211
2024-10-09 00:00:00,62185.230423727575,28626429276.55382,60799.46288267434,1208877240482.7861,1236430491145.736,1.022792430645767
2024-10-10 00:00:00,60597.15045618275,28530748117.898792,60797.72388573279,1208842663963.1223,1204854657449.043,0.9967009714059852
2024-10-11 00:00:00,60195.18073772453,29481971885.649742,60792.419106340225,1208737188901.8403,1196862283487.6953,0.990175775575389
2024-10-12 00:00:00,62392.34048293159,32008659336.482643,60807.56717552739,1209038378340.1904,1240548465630.6409,1.0260621067576934
2024-10-13 00:00:00,63207.77062127557,17665963646.417107,60820.04425788098,1209286460480.554,1256761683457.0876,1.0392588725070715
2024-10-14 00:00:00,62829.533686088886,16784552979.060463,60829.92031211822,1209482826313.8545,1249241189018.8474,1.0328722011094318
2024-10-15 00:00:00,66049.99492708022,46553796134.14602,60900.120727526046,1210878622928.4185,1313273700385.009,1.084562627102092
2024-10-16 00:00:00,66962.21994496793,51797932876.82809,60989.49100473051,1212655574384.3318,1331411493221.296,1.0979304605079285
2024-10-17 00:00:00,67647.54414766871,40640495380.19594,61065.62336263706,1214169315959.8967,1345037811476.7007,1.1077843870674182
2024-10-18 00:00:00,67328.10527002988,34512072357.92087,61125.84932557996,1215366790286.7395,1338686400286.6357,1.1014669900358243
2024-10-19 00:00:00,68465.61920668735,39984956633.228035,61206.72783832666,1216974899777.645,1361303618327.0447,1.1185962985561742
2024-10-20 00:00:00,68388.87128965274,14110889435.452631,61234.549109289546,1217528070803.7317,1359777637573.9478,1.1168347327518389
2024-10-21 00:00:00,68962.82918045693,17253863432.786995,61270.98132155153,1218252453390.9421,1371189656665.7546,1.1255381861527303
2024-10-22 00:00:00,67394.85775735618,40485496091.95008,61337.979751681756,1219584584852.1821,1340013641660.9568,1.0987459650643019
2024-10-23 00:00:00,67351.04793512498,31398389967.38113,61388.570704036385,1220590486022.623,1339142569870.2883,1.0971268293545162
2024-10-24 00:00:00,66683.96806542306,32676918488.059,61434.53523420365,1221504399925.052,1325879004144.0083,1.0854475876021081
2024-10-25 00:00:00,68214.05205157402,35892606570.03549,61498.562630826375,1222777458252.7866,1356301702292.7476,1.1091975020792029
2024-10-26 00:00:00,66585.66535501445,48426924850.053406,61562.56860875489,1224050090712.0886,1323924448895.3862,1.0815933587531503
2024-10-27 00:00:00,67018.1650170265,21169467789.89267,61592.410969840785,1224643447123.6187,1332523850487.6633,1.0880912755605958
2024-10-28 00:00:00,67938.55412885673,16533385730.434193,61619.40708461186,1225180211548.515,1350823970207.9116,1.1025512471349783
2024-10-29 00:00:00,69845.304531169,41990540384.96554,61707.3290611996,1226928366407.058,1388735936125.8464,1.1318802092681468
2024-10-30 00:00:00,72781.11308158132,65487782004.97014,61888.89702264372,1230538486723.6506,1447108690928.9084,1.175996286619107
2024-10-31 00:00:00,72342.62171127986,43498144313.67304,62001.518312592496,1232777738647.2344,1438390156050.9202,1.1667879058469297
